"","FECHA","HORA","CO","CO2","NO","NO2","NOX","O3"
"2148","07/04/2021",17,0.11,2,1,11,13,49
"807","05/02/2021",22,0.36,3,1,15,15,39
"2648","02/05/2021",20,0.32,2,1,13,14,30
"2228","11/04/2021",7,1.76,2,58,43,102,1
"3594","12/06/2021",24,0.43,1,2,19,21,8
"1765","19/03/2021",21,0.49,3,2,27,29,24
"1793","21/03/2021",4,0.88,4,17,40,57,4
"2548","27/04/2021",21,0.36,2,0,15,16,44
"4924","24/09/2021",9,0.64,1,29,27,56,12
"1295","27/02/2021",17,0.3,3,1,15,15,66
"2721","05/05/2021",21,0.47,1,4,24,28,16
"1928","27/03/2021",7,1.35,2,68,40,107,1
"81","04/01/2021",19,0.37,1,0,15,15,39
"4614","10/09/2021",15,0.26,0,2,7,9,61
"4077","15/08/2021",15,0.11,1,1,6,6,52
"1723","18/03/2021",3,0.14,1,1,18,18,19
"3971","11/08/2021",2,0.22,0,1,22,23,15
"1281","27/02/2021",3,0.71,3,6,42,48,11
"2822","10/05/2021",21,0.33,2,0,16,16,42
"516","23/01/2021",16,0.24,4,0,10,10,66
"3578","12/06/2021",8,0.34,1,7,19,26,10
"2313","14/04/2021",23,0.03,1,0,10,11,33
"3790","03/08/2021",9,0.54,1,20,24,44,10
"1445","06/03/2021",3,0.02,1,1,10,11,22
"4350","30/08/2021",8,1.51,2,67,20,88,2
"2962","16/05/2021",23,0.24,1,0,13,14,35
"3613","13/06/2021",22,0.65,1,4,24,29,12
"993","14/02/2021",2,0.14,1,0,7,7,18
"1920","26/03/2021",17,0,4,0,7,8,43
"603","27/01/2021",24,0.22,1,1,12,13,19
"3909","08/08/2021",12,0.25,2,2,11,13,57
"353","16/01/2021",18,0.49,2,3,15,19,29
"4875","22/09/2021",5,0.17,1,2,17,19,12
"3116","23/05/2021",12,0.18,2,1,9,10,64
"4449","03/09/2021",13,0.29,1,6,17,23,47
"4934","24/09/2021",19,0.33,1,1,16,17,36
"5095","01/10/2021",18,0.57,1,5,25,30,23
"2489","25/04/2021",5,0.3,2,2,17,19,20
"3739","01/08/2021",4,0.65,0,2,21,24,9
"3374","03/06/2021",17,0.27,1,1,8,9,34
"4550","07/09/2021",22,0.52,1,2,32,34,8
"2171","08/04/2021",20,0.37,1,3,22,25,38
"2112","06/04/2021",4,0.1,2,1,10,11,21
"764","03/02/2021",21,0.46,3,2,27,29,44
"839","07/02/2021",9,1.18,4,44,38,83,11
"2867","12/05/2021",18,0.44,4,1,26,27,32
"1861","24/03/2021",1,0.15,1,1,12,13,20
"5146","03/10/2021",21,1.33,1,20,28,48,2
"2019","02/04/2021",5,0.04,1,0,12,12,12
"600","27/01/2021",21,0.42,1,2,21,23,18
"2781","09/05/2021",4,0.14,1,0,8,8,36
"1583","12/03/2021",2,0.12,1,4,27,30,11
"1146","21/02/2021",7,1.49,19,77,35,112,0
"326","15/01/2021",15,0.43,8,2,22,24,64
"2877","13/05/2021",4,0.11,1,1,19,20,13
